Coursename,Coursecode,Hours,Classification
Parent-Child Nursing I: Childbearing Families,N 592K,5,Graduate
Parent-Child Nursing II: Childrearing Families,N 592L,5,Graduate
Topics in Clinical Project in Parent-Child Nursing,N 392M,3,Graduate
"Health Policy, Program Planning, and Evaluation",N 392P,3,Graduate
Advanced Psychosocial Nursing Care of Diverse Populations,N 392Q,3,Graduate
Topics in Advanced  Practicum in Parent-Child Nursing,N 492S,4,Graduate
Advanced Assessment in Parent-Child Nursing,N 392T,3,Graduate
Parent-Child Nursing III: At-Risk Families,N 592U,5,Graduate
Advanced Pediatric Pathophysiology,"N 192V, 392V","1, 3",Graduate
Advanced Practicum in Child Health,N 492W,4,Graduate
"Parents, Children, and Family Life",N 393,3,Graduate
Advanced Pediatric Health Assessment,N 393C,3,Graduate
Advanced Pediatric Pharmacology,N 393D,3,Graduate
Pediatric Nurse Practitioner Primary Care I,N 393E,3,Graduate
Pediatric Nurse Practitioner Primary Care I Clinical,"N 193F, 393F","1, 3",Graduate
Pediatric Nurse Practitioner Primary Care II,N 393G,3,Graduate
Pediatric Nursing Practitioner Primary Care II Clinical,N 493H,4,Graduate
Pediatric Acute Care Management III and Role Transition,N 393J,3,Graduate
Topics in Maternal/Parent-Child Nursing,N 393M,3,Graduate
Pediatric Diagnostic Reasoning and Advanced Invasive Skills,"N 293P, 393P","2, 3",Graduate
Advanced Neonatal Nursing I,N 393Q,3,Graduate
Advanced Neonatal Nursing I--Clinic,N 293R,2,Graduate
Advanced Neonatal Nursing II,N 393S,3,Graduate
Advanced Neonatal Nursing II--Clinic,N 293T,2,Graduate
Advanced Neonatal Nursing III,N 393U,3,Graduate
Advanced Neonatal Nursing III--Clinic,N 293V,2,Graduate
Advanced Neonatal Nursing Practicum,N 493W,4,Graduate
Topics in Independent Study in Nursing,"N 194, 294, 394, 494","1, 2, 3, 4",Graduate
Primary Health Care of the Adolescent,N 294D,2,Graduate
Pediatric Primary Health Care Concepts I,N 394E,3,Graduate
Pediatric Primary Health Care Concepts I Clinic,"N 194F, 394F","1, 3",Graduate
Pediatric Acute Care Role Transition and Advanced Practicum,N 494G,4,Graduate
Advanced Practicum in Maternity Nursing,N 294H,2,Graduate
Pediatric Primary Health Care Concepts III,N 294J,2,Graduate
Pediatric Primary Health Care Concepts III Clinic,N 494K,4,Graduate
Advanced Physiologic Concepts in Maternity Nursing,N 494L,4,Graduate
Health Promotion in Maternity Nursing,N 394M,3,Graduate
High-Risk Maternity Nursing,N 394N,3,Graduate
Advanced Practicum in Maternity Nursing,N 294P,2,Graduate
Pediatric Acute Care Management I,N 394Q,3,Graduate
