Coursename,Coursecode,Hours,Classification
Health Behavior and Health Outcomes,PHM 283L,2,Graduate
Health Innovation Entrepreneurship,PHM 383M,3,Graduate
Advanced Study in Pharmaceutical Research,"PHM 183R, 283R, 383R","1, 2, 3",Graduate
Foundations of Professional Development V,"PHM 183S, 283S","1, 2",Graduate
Foundations of Professional Development VI,"PHM 183T, 283T","1, 2",Graduate
Multidisciplinary Pain Management,PHM 283U,2,Graduate
Pharmacy Practice Lab III,PHM 183V,1,Graduate
PharmD Year 2 Administrative Session I,PHM 083W,0,Graduate
Pharmacotherapeutics of the Gastrointestinal System and Nutrition,PHM 184,1,Graduate
Antimicrobics: Mechanism of Action and Clinical Use,PHM 384D,3,Graduate
Pharmacy Law,"PHM 284E, 384E","2, 3",Graduate
Antimicrobics: Advanced Inquiry,PHM 184H,1,Graduate
Community Introductory Pharmacy Practice Experience,PHM 284I,2,Graduate
Community Pharmacy Management,PHM 384K,3,Graduate
Pharmacy and the Health Care System,PHM 384L,3,Graduate
Pharmacy Professional Communications,"PHM 184M, 284M","1, 2",Graduate
Quality and Patient Safety Interprofessional Education,PHM 284S,2,Graduate
Pharmacy Practice Lab IV,PHM 184V,1,Graduate
PharmD Year 2 Administrative Session II,PHM 084W,0,Graduate
Pharmacotherapeutics of Diabetes,PHM 185,1,Graduate
Ambulatory Introductory Pharmacy Practice Experience,PHM 185I,1,Graduate
Applied Pharmacy Management,PHM 385K,3,Graduate
Patient-Centered Diabetes Care,PHM 285M,2,Graduate
Biomedical and Professional Ethics,PHM 185N,1,Graduate
Pharmacy Practice Lab V,PHM 185V,1,Graduate
PharmD Year 3 Administrative Session I,PHM 085W,0,Graduate
Pharmacotherapeutics of Infectious Diseases,PHM 486,4,Graduate
Careers in Academic Pharmacy,"PHM 186E, 286E","1, 2",Graduate
Spanish for the Pharmacy Professional,PHM 386G,3,Graduate
Institutional Clinical Skills,PHM 386H,3,Graduate
Pharmacy Association Management,PHM 386K,3,Graduate
Advanced Oncology,PHM 186M,1,Graduate
Experiential Pharmacy Practice and Patient Counseling,PHM 186Q,1,Graduate
Advanced Contemporary Compounding,PHM 286R,2,Graduate
Advanced Contemporary Compounding Laboratory,PHM 186S,1,Graduate
Pharmacy Practice Lab VI,PHM 186V,1,Graduate
PharmD Year 3 Administrative Session II,PHM 086W,0,Graduate
Pharmacotherapeutics of the Endocrine System,PHM 187,1,Graduate
"Emotions, Ethics, and Empathy",PHM 187E,1,Graduate
Foundations of Patient-Centered Care I,PHM 187F,1,Graduate
Foundations of Patient-Centered Care II,PHM 187G,1,Graduate
Community Care Clinical Skills,"PHM 287H, 387H","2, 3",Graduate
Advanced Problems in Pharmacy Education,"PHM 187J, 287J, 387J","1, 2, 3",Graduate
Pharmacy Association Management Residency,PHM 687K,6,Graduate
Physical and Chemical Principles of Drugs,PHM 387M,3,Graduate
Biopharmaceutics,PHM 287N,2,Graduate
Exploratory Research in Pharmacy,PHM 187R,1,Graduate
Pharmacotherapeutics of Oncology and Transplant,PHM 288,2,Graduate
Clinical Drug Development: Regulatory Perspectives,PHM 288E,2,Graduate
Dialogue Across Difference,PHM 288G,2,Graduate
Pharmacy Honors Proposal and Tutorial Course,PHM 288H,2,Graduate
Hospital Pharmacy,"PHM 188K, 288K, 388K","1, 2, 3",Graduate
Pharmaceutics,PHM 388M,3,Graduate
Pharmaceutics Laboratory,PHM 188P,1,Graduate
