Coursename,Coursecode,Hours,Classification
Modeling Flow and Transport in Porous Media,GEO 494P,4,Graduate
Ice Dynamics,GEO 395D,3,Graduate
Seismic Structural Analysis,GEO 395S,3,Graduate
Marine Geology and Geophysics Field Course,GEO 397F,3,Graduate
Field Methods in Planetary Geology,GEO 397P,3,Graduate
Preparing Future Faculty,GEO 297Q,2,Graduate
Thesis,GEO 698,6,Graduate
Continuum Mechanics,GEO 398C,3,Graduate
Topics in Machine Learning Data Analytics,GEO 398D,3,Graduate
Geodynamics of the Lithosphere and Mantle,GEO 398G,3,Graduate
Topics in Lithosphere and Deep Earth,GEO 398L,3,Graduate
Numerical Modeling in the Geosciences,GEO 398M,3,Graduate
Planetary Geology and Geophysics,GEO 398P,3,Graduate
Master's Report,GEO 398R,3,Graduate
"Topics in Subsurface, Surface, and Life",GEO 398S,3,Graduate
Supervised Teaching in Geological Sciences,"GEO 298T, 398T","2, 3",Graduate
"Topics in Water, Climate, and Environment",GEO 398W,3,Graduate
Dissertation,"GEO 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 780
DegreeView
